gene_id	baseMn	l2fc	lfcSE	pval	padj
ASB13	1.53E+02	0.07	0.16	6.65E-01	1.00E+00
ASB14	5.69E+00	0.43	0.56	4.44E-01	1.00E+00
ASB18	5.73E-01	1.86	1.69	2.72E-01	1.00E+00
ASB3	1.76E+02	0.12	0.11	2.78E-01	1.00E+00
ASB4	7.43E-01	0.44	1.18	7.07E-01	1.00E+00
ASB8	2.12E+02	0.08	0.11	4.78E-01	1.00E+00
ASCC1	2.14E+02	0.04	0.11	6.98E-01	1.00E+00
ASCC3	7.17E+02	0.11	0.13	3.91E-01	1.00E+00
ASDURF	5.54E+01	0.12	0.44	7.84E-01	1.00E+00
ASGR1	2.84E+01	0.15	0.36	6.81E-01	1.00E+00
ASIC2	3.71E+00	1.12	0.71	1.13E-01	1.00E+00
ASIC3	1.06E+00	1.09	1.49	4.66E-01	1.00E+00
ASMT	7.40E-01	1.61	1.5	2.81E-01	1.00E+00
ASPA	4.79E+00	0.87	0.57	1.28E-01	1.00E+00
ASS1	4.65E+00	0.62	0.54	2.53E-01	1.00E+00
ASTN2	4.53E+02	0.39	0.22	7.71E-02	1.00E+00
ASXL2	5.58E+02	0.06	0.1	5.64E-01	1.00E+00
ASXL3	4.55E+01	0.11	0.21	6.00E-01	1.00E+00
ATAD1	1.11E+03	0.08	0.08	2.99E-01	1.00E+00
ATAD2B	3.94E+02	0.09	0.12	4.31E-01	1.00E+00
ATAD3A	3.42E+02	0.04	0.11	7.50E-01	1.00E+00
ATAD3C	5.79E+00	0.16	0.55	7.69E-01	1.00E+00
ATF1	1.38E+02	0.14	0.15	3.54E-01	1.00E+00
ATF2	3.15E+02	0.1	0.11	3.48E-01	1.00E+00
ATF5	1.22E+02	0.03	0.16	8.59E-01	1.00E+00
ATF6	5.27E+02	0.05	0.07	4.69E-01	1.00E+00
ATF6B	3.38E+02	0.04	0.09	6.73E-01	1.00E+00
ATF7	3.42E+02	0.01	0.14	9.64E-01	1.00E+00
ATF7IP	1.14E+03	0.04	0.09	6.27E-01	1.00E+00
ATF7IP2	3.85E+01	0.19	0.23	4.18E-01	1.00E+00
ATG10	7.93E+01	0.12	0.15	4.27E-01	1.00E+00
ATG12	4.45E+02	0.05	0.09	5.29E-01	1.00E+00
ATG16L1	4.86E+02	0.04	0.09	6.36E-01	1.00E+00
ATG16L2	4.05E+01	0.24	0.24	3.14E-01	1.00E+00
ATG2A	6.74E+01	0.09	0.16	5.68E-01	1.00E+00
ATG2B	2.34E+02	0.07	0.1	4.84E-01	1.00E+00
ATG4B	2.02E+02	0.18	0.14	2.19E-01	1.00E+00
ATG4D	3.09E+01	0.18	0.21	4.07E-01	1.00E+00
ATG5	1.64E+02	0.13	0.13	3.13E-01	1.00E+00
ATG9A	1.59E+02	0.06	0.12	6.36E-01	1.00E+00
ATG9B	1.42E+00	0.76	1.17	5.17E-01	1.00E+00
ATL3	8.35E+02	0.12	0.08	1.25E-01	1.00E+00
ATMIN	2.20E+02	0.05	0.1	5.77E-01	1.00E+00
ATOH7	7.80E-01	1.22	1.25	3.30E-01	1.00E+00
ATOH8	2.06E+00	0.7	0.99	4.79E-01	1.00E+00
ATOX1	4.59E+01	0.17	0.28	5.37E-01	1.00E+00
ATP10D	1.72E+02	0.13	0.11	2.55E-01	1.00E+00
ATP11C	1.53E+03	0.05	0.07	4.69E-01	1.00E+00
ATP13A1	1.65E+02	0.12	0.19	5.36E-01	1.00E+00
ATP13A2	2.73E+02	0.08	0.12	4.86E-01	1.00E+00
