gene_id	baseMn	l2fc	lfcSE	pval	padj
MERTK	1.05E+02	0.09	0.12	4.58E-01	1.00E+00
MESD	2.07E+03	0.02	0.08	8.06E-01	1.00E+00
MEST	3.28E+02	0.1	0.1	3.20E-01	1.00E+00
MET	1.24E+02	0.13	0.16	4.07E-01	1.00E+00
METAP1	6.20E+02	0.03	0.11	7.60E-01	1.00E+00
METAP1D	2.96E+01	0.04	0.25	8.65E-01	1.00E+00
METTL1	2.70E+01	0.16	0.22	4.84E-01	1.00E+00
METTL15	1.05E+02	0.06	0.13	6.34E-01	1.00E+00
METTL16	2.99E+02	0.02	0.11	8.35E-01	1.00E+00
METTL17	8.48E+01	0.09	0.14	4.99E-01	1.00E+00
METTL18	7.89E+01	0.04	0.16	8.19E-01	1.00E+00
METTL21A	1.67E+02	0.03	0.14	8.12E-01	1.00E+00
METTL22	3.79E+01	0.07	0.2	7.42E-01	1.00E+00
METTL24	1.90E+01	0.25	0.28	3.76E-01	1.00E+00
METTL25	3.87E+01	0.01	0.21	9.62E-01	1.00E+00
METTL26	1.66E+01	0.22	0.28	4.30E-01	1.00E+00
METTL2A	2.07E+02	0.22	0.1	2.66E-02	1.00E+00
METTL4	6.51E+01	0.14	0.15	3.64E-01	1.00E+00
METTL6	1.51E+02	0.07	0.12	5.47E-01	1.00E+00
METTL7A	3.64E+01	0.19	0.27	4.95E-01	1.00E+00
METTL8	1.41E+02	0.07	0.12	5.83E-01	1.00E+00
METTL9	1.22E+03	0.01	0.07	9.10E-01	1.00E+00
MEX3A	6.06E+02	0.04	0.08	6.13E-01	1.00E+00
MEX3B	1.74E+02	0.03	0.12	8.27E-01	1.00E+00
MEX3C	4.24E+02	0.1	0.09	2.60E-01	1.00E+00
MFAP2	5.72E+01	0.24	0.15	1.19E-01	1.00E+00
MFAP3	5.21E+02	0.01	0.11	8.94E-01	1.00E+00
MFAP3L	1.90E+02	0.08	0.13	5.15E-01	1.00E+00
MFAP5	5.18E-01	1.07	2.06	6.03E-01	1.00E+00
MFHAS1	2.24E+02	0.07	0.1	4.66E-01	1.00E+00
MFN1	3.82E+02	0.04	0.08	6.30E-01	1.00E+00
MFSD1	8.61E+02	0.08	0.1	4.52E-01	1.00E+00
MFSD10	9.30E+01	0.07	0.15	6.43E-01	1.00E+00
MFSD12	4.92E+01	0.12	0.19	5.34E-01	1.00E+00
MFSD13A	6.12E+00	0.89	0.5	7.70E-02	1.00E+00
MFSD14A	4.52E+02	0.06	0.13	6.57E-01	1.00E+00
MFSD2A	5.79E+00	0.75	0.68	2.73E-01	1.00E+00
MFSD2B	5.09E-01	0.1	1.79	9.56E-01	1.00E+00
MFSD3	8.58E+00	0.41	0.4	3.08E-01	1.00E+00
MFSD4B	3.51E+02	0.27	0.13	4.61E-02	1.00E+00
MFSD6	4.76E+01	0.11	0.18	5.35E-01	1.00E+00
MFSD9	1.22E+02	0.05	0.12	6.96E-01	1.00E+00
MGA	7.79E+02	0.02	0.12	8.88E-01	1.00E+00
MGAM	4.68E+00	0.46	0.6	4.40E-01	1.00E+00
MGARP	5.86E-01	1.45	1.84	4.31E-01	1.00E+00
MGAT1	1.24E+03	0.03	0.1	7.88E-01	1.00E+00
MGAT2	5.80E+02	0.01	0.09	9.39E-01	1.00E+00
MGAT3	1.85E+01	0.03	0.33	9.29E-01	1.00E+00
MGAT4B	7.03E+02	0.04	0.11	7.00E-01	1.00E+00
MGAT4C	1.34E+01	0.92	0.38	1.58E-02	1.00E+00
MGAT5	1.05E+03	0.03	0.09	7.18E-01	1.00E+00
MGAT5B	1.32E+01	0.34	0.34	3.18E-01	1.00E+00
MGLL	2.87E+00	0.42	0.73	5.64E-01	1.00E+00
MGRN1	2.82E+02	0.04	0.09	7.02E-01	1.00E+00
MGST3	3.34E+02	0.18	0.13	1.71E-01	1.00E+00
MIA2	1.57E+02	0.08	0.11	4.49E-01	1.00E+00
MICAL2	1.00E+03	0.05	0.14	7.21E-01	1.00E+00
MICALL1	1.06E+03	0.03	0.09	7.70E-01	1.00E+00
MICOS10	4.60E+02	0.03	0.14	8.30E-01	1.00E+00
MICOS13	4.08E+01	0.14	0.2	4.83E-01	1.00E+00
MICU2	4.35E+02	0.07	0.1	4.67E-01	1.00E+00
MICU3	5.09E+01	0.31	0.17	7.66E-02	1.00E+00
MIDEAS	3.21E+02	0.09	0.1	3.53E-01	1.00E+00
MIDN	7.66E+02	0.08	0.1	3.79E-01	1.00E+00
MIEF1	4.22E+02	0.08	0.08	3.55E-01	1.00E+00
MIEF2	5.33E+01	0.09	0.19	6.45E-01	1.00E+00
MIER2	2.20E+02	0.03	0.1	7.42E-01	1.00E+00
MIER3	4.43E+02	0.09	0.1	3.79E-01	1.00E+00
MIF4GD	2.01E+01	0.03	0.25	8.92E-01	1.00E+00
MIIP	4.39E+01	0.37	0.23	1.02E-01	1.00E+00
MINAR2	9.13E-01	0.98	1.36	4.73E-01	1.00E+00
MINDY1	2.49E+01	0.25	0.31	4.12E-01	1.00E+00
MINDY2	5.44E+02	0.07	0.09	4.74E-01	1.00E+00
MINDY3	2.79E+02	0.01	0.08	9.15E-01	1.00E+00
MIPOL1	1.04E+02	0.15	0.14	2.87E-01	1.00E+00
MIS12	1.66E+02	0.06	0.12	6.53E-01	1.00E+00
MIS18A	1.49E+02	0.07	0.12	5.40E-01	1.00E+00
MIX23	2.25E+02	0.09	0.14	5.17E-01	1.00E+00
MIXL1	2.69E+00	0.35	0.73	6.31E-01	1.00E+00
MKKS	1.80E+02	0.03	0.16	8.48E-01	1.00E+00
MKLN1	4.31E+02	0.04	0.1	7.08E-01	1.00E+00
MKNK2	2.58E+02	0.11	0.11	3.00E-01	1.00E+00
MKRN2OS	1.27E+00	1.89	1.1	8.48E-02	1.00E+00
MKS1	8.74E+01	0.05	0.2	8.17E-01	1.00E+00
MKX	2.37E+00	0.89	0.82	2.79E-01	1.00E+00
MLANA	7.56E+00	0.33	0.61	5.91E-01	1.00E+00
MLC1	6.37E+00	0.26	0.59	6.63E-01	1.00E+00
MLEC	1.31E+03	0.09	0.08	2.65E-01	1.00E+00
MLH3	1.93E+02	0.15	0.11	1.74E-01	1.00E+00
MLLT10	3.57E+02	0.13	0.1	1.97E-01	1.00E+00
MLLT11	1.84E+02	0.05	0.12	6.48E-01	1.00E+00
MLST8	9.03E+01	0.07	0.18	6.94E-01	1.00E+00
MLX	1.74E+02	0.04	0.12	7.48E-01	1.00E+00
MLXIP	4.84E+02	0.1	0.1	3.44E-01	1.00E+00
MLYCD	8.13E+01	0.1	0.16	5.29E-01	1.00E+00
MMAA	7.18E+01	0.02	0.18	9.25E-01	1.00E+00
MMACHC	2.52E+01	0.18	0.26	4.86E-01	1.00E+00
MMADHC	7.71E+02	0.02	0.09	8.50E-01	1.00E+00
MMD	1.68E+03	0.04	0.1	7.10E-01	1.00E+00
MMEL1	4.67E-01	1.98	2.09	3.43E-01	1.00E+00
MMGT1	2.63E+02	0.18	0.15	2.36E-01	1.00E+00
MMP11	2.47E+01	0.09	0.27	7.53E-01	1.00E+00
MMP16	1.49E+03	0.04	0.11	6.97E-01	1.00E+00
MMP19	5.94E+00	0.18	0.5	7.12E-01	1.00E+00
MMP24	8.85E+01	0.09	0.14	5.18E-01	1.00E+00
MMP7	5.29E+00	0.1	0.63	8.78E-01	1.00E+00
MMP9	1.32E+03	0.05	0.09	5.67E-01	1.00E+00
MMS19	3.08E+02	0.03	0.1	7.53E-01	1.00E+00
MMS22L	1.46E+02	0.18	0.11	1.03E-01	1.00E+00
MN1	7.15E+01	0.1	0.16	5.52E-01	1.00E+00
MNT	3.21E+01	0.21	0.22	3.39E-01	1.00E+00
MOB1A	1.14E+03	0.09	0.1	3.51E-01	1.00E+00
MOB1B	1.23E+03	0.1	0.09	2.50E-01	1.00E+00
MOB3A	1.87E+02	0.2	0.15	1.70E-01	1.00E+00
MOB3B	7.03E+01	0.19	0.16	2.24E-01	1.00E+00
MOCS3	1.93E+02	0.04	0.11	7.00E-01	1.00E+00
MOG	1.57E+00	2.11	1.13	6.07E-02	1.00E+00
MOK	1.01E+01	0.09	0.42	8.33E-01	1.00E+00
MON1A	4.70E+01	0.14	0.23	5.45E-01	1.00E+00
MON1B	5.41E+02	0.14	0.1	1.84E-01	1.00E+00
MON2	2.26E+02	0.12	0.1	2.53E-01	1.00E+00
MORC3	2.55E+02	0.08	0.1	4.25E-01	1.00E+00
MORN3	1.16E+01	0.24	0.35	4.91E-01	1.00E+00
MOSMO	1.29E+02	0.13	0.13	3.19E-01	1.00E+00
MOSPD1	1.66E+02	0.06	0.12	5.87E-01	1.00E+00
MOSPD3	3.30E+01	0.06	0.29	8.35E-01	1.00E+00
MOXD1	2.30E+00	0.47	0.79	5.53E-01	1.00E+00
MPG	4.45E+01	0.26	0.23	2.50E-01	1.00E+00
MPHOSPH10	9.54E+02	0.03	0.1	7.66E-01	1.00E+00
MPHOSPH6	2.82E+02	0.08	0.14	5.90E-01	1.00E+00
MPIG6B	3.23E+00	0.47	0.73	5.13E-01	1.00E+00
MPL	6.01E+00	0.13	0.49	7.92E-01	1.00E+00
MPND	3.93E+01	0.09	0.21	6.59E-01	1.00E+00
MPP2	3.65E+01	0.03	0.17	8.61E-01	1.00E+00
MPP4	3.60E+00	0.19	0.81	8.11E-01	1.00E+00
MPP7	1.66E+01	0.12	0.34	7.14E-01	1.00E+00
MPPE1	1.03E+02	0.11	0.13	3.94E-01	1.00E+00
MPPED2	6.86E+01	0.47	0.18	8.92E-03	1.00E+00
MPV17L	3.33E+01	0.35	0.23	1.29E-01	1.00E+00
MPZL1	2.23E+03	0.02	0.08	7.74E-01	1.00E+00
MR1	8.59E+00	1.51	0.6	1.22E-02	1.00E+00
MRAP	1.94E+01	0.43	0.6	4.75E-01	1.00E+00
MRAP2	6.92E+01	0.07	0.24	7.85E-01	1.00E+00
MRAS	1.52E+02	0.08	0.13	5.30E-01	1.00E+00
MRE11	2.24E+02	0.02	0.11	8.63E-01	1.00E+00
MRFAP1	6.25E+03	0.03	0.06	6.13E-01	1.00E+00
MRGBP	1.53E+02	0.14	0.11	2.27E-01	1.00E+00
MRGPRX3	4.10E+00	0.15	0.66	8.24E-01	1.00E+00
MRI1	1.04E+02	0.24	0.14	9.15E-02	1.00E+00
MRM1	3.15E+01	0.05	0.23	8.41E-01	1.00E+00
MRNIP	5.20E+01	0.15	0.21	4.77E-01	1.00E+00
MRO	5.98E+00	0.69	0.53	1.94E-01	1.00E+00
MROH1	9.27E+01	0.02	0.2	9.13E-01	1.00E+00
MROH7	2.85E+00	0.32	0.84	7.06E-01	1.00E+00
MRPL14	1.34E+02	0.04	0.16	8.23E-01	1.00E+00
MRPL20	5.72E+02	0.01	0.1	9.44E-01	1.00E+00
MRPL28	1.28E+02	0.03	0.14	8.21E-01	1.00E+00
MRPL30	3.36E+02	0.02	0.1	8.35E-01	1.00E+00
MRPL32	1.33E+02	0.07	0.11	5.43E-01	1.00E+00
MRPL34	2.55E+02	0.07	0.14	6.16E-01	1.00E+00
MRPL35	5.11E+02	0.07	0.1	4.68E-01	1.00E+00
MRPL38	1.07E+02	0.02	0.18	9.09E-01	1.00E+00
MRPL39	1.59E+02	0.02	0.13	9.02E-01	1.00E+00
MRPL42	2.08E+02	0.1	0.12	3.93E-01	1.00E+00
MRPL47	1.79E+02	0.04	0.12	7.15E-01	1.00E+00
MRPL50	2.32E+02	0.01	0.14	9.46E-01	1.00E+00
MRPL52	2.26E+02	0.01	0.14	9.39E-01	1.00E+00
MRPL55	4.82E+01	0.19	0.23	4.00E-01	1.00E+00
MRPL57	1.29E+02	0.06	0.12	5.81E-01	1.00E+00
MRPS10	4.66E+02	0.04	0.09	6.37E-01	1.00E+00
MRPS15	2.20E+02	0.05	0.12	6.45E-01	1.00E+00
MRPS16	6.10E+02	0.09	0.1	3.56E-01	1.00E+00
MRPS17	2.88E+02	0.16	0.11	1.49E-01	1.00E+00
MRPS27	2.39E+02	0.02	0.11	8.43E-01	1.00E+00
MRPS30	1.19E+02	0.03	0.14	8.45E-01	1.00E+00
MRPS35	4.08E+02	0.04	0.08	6.28E-01	1.00E+00
MRPS5	1.04E+03	0.01	0.09	8.71E-01	1.00E+00
MRPS6	5.86E+02	0.02	0.12	8.58E-01	1.00E+00
MRPS7	2.09E+02	0.02	0.11	8.60E-01	1.00E+00
MRRF	1.17E+02	0.01	0.16	9.35E-01	1.00E+00
MRTFB	2.67E+02	0.1	0.11	3.46E-01	1.00E+00
MRTO4	3.65E+02	0.07	0.1	4.75E-01	1.00E+00
MS4A10	1.45E+00	1.55	1.13	1.69E-01	1.00E+00
MS4A2	1.14E+00	0.77	1.09	4.82E-01	1.00E+00
MS4A4A	9.92E+00	0.08	0.38	8.33E-01	1.00E+00
MS4A4E	4.77E+01	0.37	0.23	9.96E-02	1.00E+00
MS4A6A	1.11E+00	0.21	1.27	8.72E-01	1.00E+00
MSANTD3	6.29E+02	0.11	0.13	3.85E-01	1.00E+00
MSANTD3-TMEFF1	3.91E+02	0.23	0.25	3.57E-01	1.00E+00
MSH3	1.06E+02	0.12	0.11	2.73E-01	1.00E+00
MSH4	4.98E-01	1.26	2.12	5.53E-01	1.00E+00
MSH6	1.87E+03	0.03	0.08	7.13E-01	1.00E+00
MSI2	3.32E+02	0.2	0.13	1.05E-01	1.00E+00
MSL1	1.26E+03	0.08	0.06	1.96E-01	1.00E+00
MSL2	2.37E+02	0.06	0.1	5.33E-01	1.00E+00
MSMO1	3.64E+02	0.07	0.13	5.85E-01	1.00E+00
MSS51	1.08E+01	0.36	0.34	2.88E-01	1.00E+00
MST1	1.05E+01	0.07	0.4	8.65E-01	1.00E+00
MST1R	3.51E-01	1.15	2.55	6.50E-01	1.00E+00
MSTO1	2.24E+02	0.01	0.12	9.15E-01	1.00E+00
MT1E	8.54E-01	0.98	1.63	5.48E-01	1.00E+00
MT1F	1.71E+00	1.16	0.94	2.16E-01	1.00E+00
MT1X	3.95E+00	0.13	0.59	8.30E-01	1.00E+00
MTA1	7.27E+02	0.1	0.13	4.61E-01	1.00E+00
MTBP	3.75E+01	0.24	0.19	2.26E-01	1.00E+00
MTCP1	3.04E+00	0.51	0.72	4.72E-01	1.00E+00
MTDH	1.20E+03	0.05	0.06	4.02E-01	1.00E+00
MTERF1	1.12E+02	0.11	0.11	3.17E-01	1.00E+00
MTERF2	5.83E+01	0.26	0.16	1.11E-01	1.00E+00
MTERF3	5.72E+01	0.24	0.2	2.32E-01	1.00E+00
MTERF4	3.75E+02	0.06	0.09	4.88E-01	1.00E+00
MTFMT	9.56E+01	0.29	0.17	8.35E-02	1.00E+00
MTFP1	1.07E+02	0.01	0.15	9.37E-01	1.00E+00
MTFR1	2.08E+02	0.01	0.13	9.24E-01	1.00E+00
MTG1	2.20E+02	0.02	0.14	8.86E-01	1.00E+00
MTHFD1L	4.38E+02	0.01	0.09	9.21E-01	1.00E+00
MTHFD2	2.44E+02	0.03	0.12	8.35E-01	1.00E+00
MTHFD2L	1.49E+02	0.07	0.15	6.44E-01	1.00E+00
MTHFS	2.89E+01	0.32	0.32	3.08E-01	1.00E+00
MTHFSD	3.21E+01	0.02	0.21	9.24E-01	1.00E+00
MTIF2	3.99E+02	0.05	0.09	5.59E-01	1.00E+00
MTLN	3.89E+00	0.2	0.65	7.61E-01	1.00E+00
MTM1	1.61E+02	0.17	0.11	1.22E-01	1.00E+00
MTMR1	1.54E+02	0.09	0.11	4.23E-01	1.00E+00
MTMR11	6.05E+00	0.55	0.56	3.22E-01	1.00E+00
MTMR14	5.60E+02	0.01	0.08	8.72E-01	1.00E+00
MTMR4	2.18E+02	0.11	0.11	2.98E-01	1.00E+00
MTMR6	5.99E+02	0.04	0.09	6.15E-01	1.00E+00
MTMR9	4.30E+02	0.07	0.09	4.12E-01	1.00E+00
MTOR	4.73E+02	0.03	0.11	7.60E-01	1.00E+00
MTPN	9.12E+02	0.04	0.09	6.46E-01	1.00E+00
MTR	1.05E+03	0.04	0.1	6.68E-01	1.00E+00
MTRES1	5.67E+02	0.03	0.1	7.84E-01	1.00E+00
MTREX	7.74E+02	0.01	0.08	8.62E-01	1.00E+00
MTRFR	6.46E+01	0.01	0.21	9.76E-01	1.00E+00
MTRNR2L1	8.09E+01	0.05	0.16	7.38E-01	1.00E+00
MTRNR2L10	1.17E+01	0.31	0.38	4.12E-01	1.00E+00
MTRNR2L6	8.14E+00	0.44	0.45	3.31E-01	1.00E+00
MTRNR2L8	4.22E+02	0.13	0.11	2.73E-01	1.00E+00
MTSS1	9.21E+02	0.05	0.08	5.05E-01	1.00E+00
MTTP	4.11E-01	0.83	2	6.80E-01	1.00E+00
MTURN	2.03E+02	0.09	0.12	4.68E-01	1.00E+00
MTUS1	1.14E+03	0.04	0.11	6.92E-01	1.00E+00
MTUS2	4.01E+01	0.09	0.28	7.42E-01	1.00E+00
MTX2	1.63E+02	0.04	0.14	7.54E-01	1.00E+00
MUC1	1.31E+00	1.64	1.24	1.84E-01	1.00E+00
MUC20	1.56E+00	1.97	1.1	7.41E-02	1.00E+00
MUC4	1.28E+00	1.43	1.31	2.74E-01	1.00E+00
MUC6	1.54E+01	0.5	0.52	3.31E-01	1.00E+00
MUCL3	5.17E-01	1.12	1.88	5.50E-01	1.00E+00
MUL1	3.18E+02	0.08	0.11	4.47E-01	1.00E+00
MUTYH	6.38E+01	0.04	0.16	7.89E-01	1.00E+00
MVD	5.34E+02	0.06	0.12	6.26E-01	1.00E+00
MX1	1.29E+01	0.61	0.44	1.71E-01	1.00E+00
MX2	2.78E+00	0.03	0.81	9.66E-01	1.00E+00
MXD4	2.35E+02	0.05	0.11	6.65E-01	1.00E+00
MXI1	4.97E+01	0.17	0.18	3.46E-01	1.00E+00
MYADM	1.15E+03	0.02	0.12	8.80E-01	1.00E+00
MYBL1	5.47E+01	0.2	0.22	3.62E-01	1.00E+00
MYC	8.68E+01	0.27	0.19	1.52E-01	1.00E+00
MYCBP	1.23E+02	0.18	0.13	1.77E-01	1.00E+00
MYD88	9.39E+01	0.09	0.12	4.38E-01	1.00E+00
MYEF2	5.79E+02	0.03	0.09	7.60E-01	1.00E+00
MYF6	1.23E+01	0.58	0.51	2.53E-01	1.00E+00
MYG1	9.05E+01	0.04	0.13	7.38E-01	1.00E+00
MYH11	4.35E+00	1	0.54	6.67E-02	1.00E+00
MYH7	2.15E+01	0.09	0.34	7.84E-01	1.00E+00
MYL10	4.51E-01	0.63	2	7.52E-01	1.00E+00
MYL4	3.14E+00	0.86	0.71	2.24E-01	1.00E+00
MYL9	2.63E+02	0.08	0.13	5.53E-01	1.00E+00
MYLIP	3.90E+02	0.08	0.09	3.55E-01	1.00E+00
MYLK3	6.73E+00	1.2	0.58	3.69E-02	1.00E+00
MYLK4	1.77E+01	0.16	0.34	6.29E-01	1.00E+00
MYO15B	6.94E+01	0.15	0.22	4.89E-01	1.00E+00
MYO18B	3.34E+00	0.33	0.61	5.88E-01	1.00E+00
MYO1B	6.43E+02	0.1	0.09	2.73E-01	1.00E+00
MYO1F	1.13E+01	0.02	0.32	9.59E-01	1.00E+00
MYO1H	1.08E+00	0.52	1.16	6.55E-01	1.00E+00
MYO5A	6.48E+02	0.09	0.09	3.17E-01	1.00E+00
MYO5B	8.84E+00	0.15	0.35	6.65E-01	1.00E+00
MYO7B	2.41E+00	0.63	0.91	4.88E-01	1.00E+00
MYO9A	4.81E+02	0.08	0.1	4.59E-01	1.00E+00
MYOG	4.82E+00	1.14	0.51	2.57E-02	1.00E+00
MYOM1	7.71E+00	0.42	0.42	3.21E-01	1.00E+00
MYOM3	6.71E-01	0.06	1.38	9.67E-01	1.00E+00
MYOZ3	8.75E+01	0.05	0.17	7.55E-01	1.00E+00
MYPOP	1.24E+01	0.42	0.35	2.38E-01	1.00E+00
MYRF	1.02E+02	0.04	0.14	7.92E-01	1.00E+00
MYRIP	1.16E+00	0.29	1.32	8.28E-01	1.00E+00
MYSM1	4.19E+02	0.11	0.12	3.26E-01	1.00E+00
MYT1	8.97E-01	0.65	1.32	6.22E-01	1.00E+00
MZF1	9.73E+00	0.05	0.52	9.23E-01	1.00E+00
MZT1	2.76E+02	0.08	0.12	5.29E-01	1.00E+00
MZT2A	3.03E+01	0.15	0.24	5.28E-01	1.00E+00
N4BP2L1	3.61E+01	0.02	0.22	9.18E-01	1.00E+00
N4BP3	9.01E+01	0.07	0.12	5.76E-01	1.00E+00
N6AMT1	1.74E+02	0.11	0.1	2.60E-01	1.00E+00
NAA10	1.96E+02	0.06	0.11	5.93E-01	1.00E+00
NAA15	1.13E+03	0.07	0.09	4.21E-01	1.00E+00
NAA16	1.76E+02	0.06	0.11	5.67E-01	1.00E+00
NAA25	3.13E+02	0.04	0.11	6.92E-01	1.00E+00
NAA30	9.03E+02	0.06	0.1	5.29E-01	1.00E+00
NAA35	3.35E+02	0.07	0.09	3.89E-01	1.00E+00
NAA40	4.63E+02	0.01	0.07	8.97E-01	1.00E+00
NAA50	1.89E+03	0.06	0.09	5.14E-01	1.00E+00
NAA80	4.31E+00	0.96	0.62	1.17E-01	1.00E+00
NAB1	6.41E+02	0.09	0.08	2.46E-01	1.00E+00
NABP1	2.20E+02	0.08	0.12	5.04E-01	1.00E+00
NABP2	4.11E+01	0.22	0.2	2.82E-01	1.00E+00
NACC2	5.85E+02	0.05	0.08	5.50E-01	1.00E+00
NADK	5.25E+02	0.17	0.07	1.62E-02	1.00E+00
NADK2	2.97E+02	0.08	0.1	4.27E-01	1.00E+00
NAE1	5.10E+02	0.02	0.09	8.23E-01	1.00E+00
NAF1	1.08E+02	0.11	0.14	4.16E-01	1.00E+00
NAGA	7.90E+01	0.06	0.16	6.97E-01	1.00E+00
NAGK	3.53E+02	0.01	0.11	9.52E-01	1.00E+00
NAIF1	1.56E+02	0.32	0.14	1.93E-02	1.00E+00
NAIP	3.26E+01	0.17	0.25	4.93E-01	1.00E+00
NALCN	5.66E-01	0.27	1.64	8.68E-01	1.00E+00
NALF1	4.63E+02	0.11	0.09	2.17E-01	1.00E+00
NANOG	3.47E+00	0.38	0.67	5.72E-01	1.00E+00
NANP	1.00E+02	0.12	0.16	4.39E-01	1.00E+00
NANS	2.85E+02	0.06	0.09	4.65E-01	1.00E+00
NAP1L1	1.07E+04	0.03	0.06	6.70E-01	1.00E+00
NAPB	2.12E+02	0.15	0.09	1.08E-01	1.00E+00
NAPEPLD	7.04E+01	0.13	0.14	3.81E-01	1.00E+00
NAPRT	6.32E+01	0.12	0.21	5.54E-01	1.00E+00
NAT1	4.53E+01	0.08	0.2	6.83E-01	1.00E+00
NAT2	2.35E+00	0.25	0.77	7.44E-01	1.00E+00
NATD1	7.02E+01	0.21	0.17	1.96E-01	1.00E+00
NAV1	5.35E+02	0.12	0.08	1.15E-01	1.00E+00
NAV2	1.72E+02	0.23	0.18	2.08E-01	1.00E+00
NBDY	5.91E+01	0.1	0.18	5.79E-01	1.00E+00
NBEA	1.94E+02	0.09	0.15	5.72E-01	1.00E+00
NBEAL1	1.25E+02	0.24	0.2	2.26E-01	1.00E+00
NBEAL2	2.35E+02	0.07	0.13	5.83E-01	1.00E+00
NBL1	2.94E+00	0.09	0.89	9.24E-01	1.00E+00
NBN	6.23E+02	0.04	0.07	5.83E-01	1.00E+00
NBPF14	6.75E+01	0.27	0.25	2.76E-01	1.00E+00
NBPF15	3.13E+02	0.06	0.1	5.37E-01	1.00E+00
NBPF19	9.69E+01	0.2	0.31	5.14E-01	1.00E+00
NBPF20	1.13E+02	0.18	0.5	7.17E-01	1.00E+00
NBPF3	1.12E+02	0.01	0.14	9.57E-01	1.00E+00
NBPF6	1.56E+00	0.77	1.25	5.37E-01	1.00E+00
NBPF9	2.02E+02	0.04	0.13	7.80E-01	1.00E+00
NBR1	8.07E+02	0.01	0.08	8.68E-01	1.00E+00
NCALD	5.19E+01	0.23	0.18	2.00E-01	1.00E+00
NCAM1	1.21E+02	0.04	0.16	8.09E-01	1.00E+00
NCAPD2	2.14E+02	0.11	0.11	3.23E-01	1.00E+00
NCBP1	6.11E+02	0.09	0.08	2.43E-01	1.00E+00
NCBP2	1.43E+03	0.01	0.08	9.43E-01	1.00E+00
NCBP3	7.80E+02	0.07	0.07	3.20E-01	1.00E+00
NCCRP1	1.12E+00	1.53	1.53	3.17E-01	1.00E+00
NCDN	1.01E+02	0.11	0.14	4.54E-01	1.00E+00
NCEH1	9.60E+01	0.01	0.18	9.41E-01	1.00E+00
NCK1	4.38E+02	0.06	0.11	6.03E-01	1.00E+00
NCKAP1L	1.25E+01	0.07	0.37	8.61E-01	1.00E+00
NCKAP5L	1.40E+02	0.17	0.15	2.81E-01	1.00E+00
NCL	2.51E+04	0.01	0.12	9.56E-01	1.00E+00
NCLN	3.39E+02	0.07	0.13	5.93E-01	1.00E+00
NCOA1	4.18E+02	0.17	0.1	9.59E-02	1.00E+00
NCOA2	3.47E+02	0.08	0.12	4.62E-01	1.00E+00
NCOA3	6.21E+02	0.13	0.11	2.20E-01	1.00E+00
NCOA7	2.73E+02	0.04	0.14	7.46E-01	1.00E+00
NCS1	3.33E+02	0.12	0.16	4.63E-01	1.00E+00
ND3	4.63E+02	0.05	0.15	7.64E-01	1.00E+00
ND4	3.73E+03	0.03	0.23	8.89E-01	1.00E+00
ND5	4.30E+03	0.05	0.23	8.42E-01	1.00E+00
ND6	2.99E+03	0.04	0.21	8.60E-01	1.00E+00
NDC1	3.38E+02	0.08	0.12	4.82E-01	1.00E+00
NDFIP1	1.07E+03	0.06	0.1	5.55E-01	1.00E+00
NDFIP2	2.65E+02	0.09	0.1	3.37E-01	1.00E+00
NDN	2.80E+02	0.23	0.12	4.62E-02	1.00E+00
NDOR1	5.80E+01	0.24	0.18	1.78E-01	1.00E+00
NDRG1	1.08E+02	0.01	0.22	9.69E-01	1.00E+00
NDRG3	2.09E+02	0.05	0.11	6.74E-01	1.00E+00
NDST2	7.11E+01	0.09	0.16	5.83E-01	1.00E+00
NDST3	2.47E+01	0.2	0.3	5.09E-01	1.00E+00
NDUFA13	4.15E+02	0.03	0.09	7.43E-01	1.00E+00
NDUFA3	3.07E+01	0.19	0.22	4.06E-01	1.00E+00
NDUFAF2	1.62E+02	0.02	0.16	9.18E-01	1.00E+00
NDUFAF3	1.04E+02	0.16	0.18	3.87E-01	1.00E+00
NDUFAF5	8.95E+01	0.08	0.16	6.34E-01	1.00E+00
NDUFAF7	1.01E+02	0.02	0.18	9.32E-01	1.00E+00
NDUFB5	3.89E+02	0.03	0.08	7.56E-01	1.00E+00
NDUFB9	3.11E+02	0.1	0.09	2.69E-01	1.00E+00
NDUFC2	1.13E+03	0.08	0.11	5.07E-01	1.00E+00
NDUFS7	9.82E+01	0.17	0.23	4.38E-01	1.00E+00
NEBL	2.33E+01	0.11	0.27	6.85E-01	1.00E+00
NECAB1	1.19E+01	0.32	0.39	4.03E-01	1.00E+00
NECAB2	9.91E-01	0.08	1.29	9.48E-01	1.00E+00
NECTIN1	1.49E+02	0.18	0.13	1.72E-01	1.00E+00
NECTIN3	3.04E+02	0.09	0.11	4.25E-01	1.00E+00
NECTIN4	2.18E+00	0.43	0.83	6.07E-01	1.00E+00
NEDD9	2.37E+02	0.13	0.12	2.70E-01	1.00E+00
NEIL1	2.53E+01	0.17	0.31	5.78E-01	1.00E+00
NEIL2	2.85E+02	0.11	0.11	3.11E-01	1.00E+00
NEK1	3.53E+02	0.1	0.12	4.06E-01	1.00E+00
NEK10	5.42E+00	0.17	0.58	7.68E-01	1.00E+00
NEK4	1.08E+02	0.12	0.14	3.83E-01	1.00E+00
NEK5	1.45E+01	0.41	0.35	2.43E-01	1.00E+00
NEK7	2.52E+02	0.18	0.13	1.68E-01	1.00E+00
NEK8	8.29E+00	0.65	0.37	8.03E-02	1.00E+00
